m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
Z86Z,0425B,PCA INTL,PCA INTL,,,,N,,,,,,,,,,1,,,,,,,,,
FFFC,1186Q,FRANKLIN FIRST,FRANKLIN FIRST,,,,N,,,,,,,,,,12,,,,,,,,,
WSTF,1197Q,WESTERN FINL CP,WESTERN FINL CP,,,,N,,,,,,,,,,12,,,,,,,,,
HBCI,1209Q,HARMONIA,HARMONIA,,,,N,,,,,,,,,,12,,,,,,,,,
TONE,1352Q,ONE BCP,ONE BCP,,,,N,,,,,,,,,,12,,,,,,,,,
STC,1367Q,STAR CHOICE COM,STAR CHOICE COM,,,,N,,,,,,,,,,8,,,,,,,,,
MTN,1369Q,MOUNTAIN MED EQ,MOUNTAIN MED EQ,,,,N,,,,,,,,,,3,,,,,,,,,
SNRS,1370Q,SUNRISE BCP,SUNRISE BCP,,,,N,,,,,,,,,,6,,,,,,,,,
ECI1,1461Q,AMER PHOENX-OLD,AMER PHOENX-OLD,,,,N,,,,,,,,,,8,,,,,,,,,
ANE&,1493Q,AMER NAT ENERGY,AMER NAT ENERGY,,,,N,,,,,,,,,,12,,,,,,,,,
YCCN,1494Q,CDN CONQUEST,CDN CONQUEST,,,,N,,,,,,,,,,12,,,,,,,,,
SFSI,1600Q,SUNWEST FIN SVC,SUNWEST FIN SVC,,,,N,,,,,,,,,,12,,,,,,,,,
PVA,1683Q,PROVIDENT LIFE,PROVIDENT LIFE,,,,N,,,,,,,,,,12,,,,,,,,,
SDP1,1700Q,SUNSOURCE LP-A,SUNSOURCE LP-A,,,,N,,,,,,,,,,12,,,,,,,,,
X38X,1737Q,MGM/UA COMMS CO,MGM/UA COMMS CO,,,,N,,,,,,,,,,8,,,,,,,,,
ZRFP,1847B,RF&P CORP,RF&P CORP,,,,N,,,,,,,,,,12,,,,,,,,,
KNDR,1977Q,ENSTAR GROUP,ENSTAR GROUP,,,,N,,,,,,,,,,12,,,,,,,,,
CGS&,2126B,CEC RESOURCES,CEC RESOURCES,,,,N,,,,,,,,,,11,,,,,,,,,
BNHC,2169Q,BANK NEW HAMPSH,BANK NEW HAMPSH,,,,N,,,,,,,,,,12,,,,,,,,,
SURE,2185B,SCOR US CORP,SCOR US CORP,,,,N,,,,,,,,,,12,,,,,,,,,
CTEL,2362B,CONCORD TELEPHO,CONCORD TELEPHO,,,,N,,,,,,,,,,12,,,,,,,,,
IN2&,2496Q,INTERACT GROUP,INTERACT GROUP,,,,N,,,,,,,,,,12,,,,,,,,,
ATRC,2510Q,ATRIA COMMUN,ATRIA COMMUN,,,,N,,,,,,,,,,12,,,,,,,,,
CISI,2566Q,CIS TECH INC,CIS TECH INC,,,,N,,,,,,,,,,12,,,,,,,,,
ABNK,2640Q,AMERIBANC INC,AMERIBANC INC,,,,N,,,,,,,,,,12,,,,,,,,,
LMAN,2712Q,LIVE ENTERTAIN,LIVE ENTERTAIN,,,,N,,,,,,,,,,12,,,,,,,,,
XLND,2792Q,CROSSLAND FSB,CROSSLAND FSB,,,,N,,,,,,,,,,12,,,,,,,,,
FSBK,2930Q,FIRST SERVICE,FIRST SERVICE,,,,N,,,,,,,,,,12,,,,,,,,,
TCC1,3187B,AT&T CAPITAL CP,AT&T CAPITAL CP,,,,N,,,,,,,,,,12,,,,,,,,,
#MET,3189B,METROPL REALTY,METROPL REALTY,,,,N,,,,,,,,,,12,,,,,,,,,
IMPT,3207B,INTEGR MICRO,INTEGR MICRO,,,,N,,,,,,,,,,9,,,,,,,,,
SBN&,3213Q,SUBURBAN BCS-MD,SUBURBAN BCS-MD,,,,N,,,,,,,,,,12,,,,,,,,,
PFSI,3219B,PIONEER FIN SVC,PIONEER FIN SVC,,,,N,,,,,,,,,,12,,,,,,,,,
CPG,3262Q,CMS ENERGY -G,CMS ENERGY -G,,,,N,,,,,,,,,,12,,,,,,,,,
SAIL,3290Q,CHARTER BANCSHS,CHARTER BANCSHS,,,,N,,,,,,,,,,12,,,,,,,,,
YPPC,3340B,POWER PLUS CORP,POWER PLUS CORP,,,,N,,,,,,,,,,1,,,,,,,,,
FML,3346Q,US BANCORP-OLD,US BANCORP-OLD,,,,N,,,,,,,,,,12,,,,,,,,,
ULS,3347Z,US LEASING,US LEASING,,,,N,,,,,,,,,,12,,,,,,,,,
FLO,3387Q,FLOWERS INDS,FLOWERS INDS,,,,N,,,,,,,,,,12,,,,,,,,,
FLB&,3393Q,FLETCH BLDG-ADR,FLETCH BLDG-ADR,,,,N,,,,,,,,,,6,,,,,,,,,
ISG,3399B,ISS-INTL SVC,ISS-INTL SVC,,,,N,,,,,,,,,,12,,,,,,,,,
OMG&,3517B,OMNI MULTIMEDIA,OMNI MULTIMEDIA,,,,N,,,,,,,,,,3,,,,,,,,,
GRNT,3542B,GRANT GEOPHYSCL,GRANT GEOPHYSCL,,,,N,,,,,,,,,,12,,,,,,,,,
FMDC,3574Q,FOUR MEDIA CO,FOUR MEDIA CO,,,,N,,,,,,,,,,7,,,,,,,,,
FNC,3614B,CITICORP,CITICORP,,,,N,,,,,,,,,,12,,,,,,,,,
REGL,3615B,REGAL CINEMAS,REGAL CINEMAS,,,,N,,,,,,,,,,12,,,,,,,,,
WVTK,3622B,WAVETEK CORP,WAVETEK CORP,,,,N,,,,,,,,,,9,,,,,,,,,
AARC,3AARC,AMER AIRCRAFT A,AMER AIRCRAFT A,,,,N,,,,,,,,,,11,,,,,,,,,
AAST,3AASQ,ACTION AUTO STO,ACTION AUTO STO,,,,N,,,,,,,,,,6,,,,,,,,,
#CND,3ACFY,AMER CONFC CORP,AMER CONFC CORP,,,,N,,,,,,,,,,6,,,,,,,,,
ACC&,3ACPX,AMER COMPL CARE,AMER COMPL CARE,,,,N,,,,,,,,,,7,,,,,,,,,
#ACY,3ACYG,AMERICAN CYTOGE,AMERICAN CYTOGE,,,,N,,,,,,,,,,1,,,,,,,,,
ADCC,3ADCC,APPLD DATA COMM,APPLD DATA COMM,,,,N,,,,,,,,,,3,,,,,,,,,
AMSI,3ADNM,ADV MONITOR SYS,ADV MONITOR SYS,,,,N,,,,,,,,,,9,,,,,,,,,
#ADR,3ADRE,AUDRE RECOG SYS,AUDRE RECOG SYS,,,,N,,,,,,,,,,4,,,,,,,,,
AHR,3AHTC,AMERICANA HOTEL,AMERICANA HOTEL,,,,N,,,,,,,,,,12,,,,,,,,,
ALGO,3ALGD,ALGOREX CORP,ALGOREX CORP,,,,N,,,,,,,,,,6,,,,,,,,,
#ALL,3ALLR,ALLERCARE INC,ALLERCARE INC,,,,N,,,,,,,,,,4,,,,,,,,,
ALOY,3ALOY,ALLOY COMPUTER,ALLOY COMPUTER,,,,N,,,,,,,,,,12,,,,,,,,,
AMRE,3AMMR,AMRE INC,AMRE INC,,,,N,,,,,,,,,,12,,,,,,,,,
#AMV,3AMVC,AMERICAN VISION,AMERICAN VISION,,,,N,,,,,,,,,,12,,,,,,,,,
ANSY,3ANSY,AMER NURS PROD,AMER NURS PROD,,,,N,,,,,,,,,,5,,,,,,,,,
STDL,3APNG,APPOINT TECH,APPOINT TECH,,,,N,,,,,,,,,,10,,,,,,,,,
#ASM,3ASMS,ASSOCIATED MORT,ASSOCIATED MORT,,,,N,,,,,,,,,,12,,,,,,,,,
AUDS,3AUDS,AUDIOSCIENCE,AUDIOSCIENCE,,,,N,,,,,,,,,,12,,,,,,,,,
#AVI,3AVIT,AVITAR INC-OLD,AVITAR INC-OLD,,,,N,,,,,,,,,,7,,,,,,,,,
#BAL,3BALC,BALDWIN SECURIT,BALDWIN SECURIT,,,,N,,,,,,,,,,12,,,,,,,,,
BAY,3BAYC,BAY FINL,BAY FINL,,,,N,,,,,,,,,,6,,,,,,,,,
#BKC,3BCKI,BUCKEYE COMMUNI,BUCKEYE COMMUNI,,,,N,,,,,,,,,,12,,,,,,,,,
#BI2,3BION,BIOANALOGICS IN,BIOANALOGICS IN,,,,N,,,,,,,,,,9,,,,,,,,,
#BI3,3BISN,BIOSONICS INC,BIOSONICS INC,,,,N,,,,,,,,,,12,,,,,,,,,
#BOG,3BOGN,BOGEN CORP,BOGEN CORP,,,,N,,,,,,,,,,12,,,,,,,,,
#BOT,3BOTN,BOUTON CORP,BOUTON CORP,,,,N,,,,,,,,,,2,,,,,,,,,
VST,3BYNH,BANYAN ST IN TR,BANYAN ST IN TR,,,,N,,,,,,,,,,12,,,,,,,,,
CAFM,3CAFM,CAPFILM INC,CAPFILM INC,,,,N,,,,,,,,,,12,,,,,,,,,
CHRO,3CDYN,CHRONODYNAMICS,CHRONODYNAMICS,,,,N,,,,,,,,,,9,,,,,,,,,
CMFL,3CFKI,COMFED BANCORP,COMFED BANCORP,,,,N,,,,,,,,,,3,,,,,,,,,
CLIC,3CLIC,CLAIRSON INTL,CLAIRSON INTL,,,,N,,,,,,,,,,9,,,,,,,,,
#CSA,3CLSR,CALSTAR INC,CALSTAR INC,,,,N,,,,,,,,,,4,,,,,,,,,
CMPX,3CPTX,COMPTRONIX CORP,COMPTRONIX CORP,,,,N,,,,,,,,,,12,,,,,,,,,
#CRO,3CRON,CROWN BRANDS IN,CROWN BRANDS IN,,,,N,,,,,,,,,,12,,,,,,,,,
#CSE,3CSEL,CARIBBEAN SELEC,CARIBBEAN SELEC,,,,N,,,,,,,,,,12,,,,,,,,,
CSV,3CSVO,COLUMBIA S&L,COLUMBIA S&L,,,,N,,,,,,,,,,12,,,,,,,,,
CAKE,3CTCI,CHARLOTTE CHARL,CHARLOTTE CHARL,,,,N,,,,,,,,,,6,,,,,,,,,
CTIA,3CTIA,COMM TRANSMISS,COMM TRANSMISS,,,,N,,,,,,,,,,12,,,,,,,,,
QCWO,3CWLO,COMMONWLTH OIL,COMMONWLTH OIL,,,,N,,,,,,,,,,12,,,,,,,,,
CBR,3CYTB,CRYSTAL BRANDS,CRYSTAL BRANDS,,,,N,,,,,,,,,,12,,,,,,,,,
DTI&,3DTCI,DOCUMENT TECH,DOCUMENT TECH,,,,N,,,,,,,,,,12,,,,,,,,,
#RMS,3DVCI,DIVERFD COM IND,DIVERFD COM IND,,,,N,,,,,,,,,,12,,,,,,,,,
DAVY,3DVTX,DAVEY TREE EXP,DAVEY TREE EXP,,,,N,,,,,,,,,,12,,,,,,,,,
EGL,3EACL,EAGLE CLOTHES,EAGLE CLOTHES,,,,N,,,,,,,,,,7,,,,,,,,,
#EEC,3EECC,EECO INC,EECO INC,,,,N,,,,,,,,,,12,,,,,,,,,
#AMG,3EGRP,ENCORE GRP INC,ENCORE GRP INC,,,,N,,,,,,,,,,12,,,,,,,,,
ELEX,3ELXC,ELEXIS CORP,ELEXIS CORP,,,,N,,,,,,,,,,12,,,,,,,,,
#ETR,3ENTC,ENTREE CORP,ENTREE CORP,,,,N,,,,,,,,,,3,,,,,,,,,
#ESP,3ESPC,EDUCATION SYSTE,EDUCATION SYSTE,,,,N,,,,,,,,,,12,,,,,,,,,
EVG&,3EVRG,EVERGREEN INFO,EVERGREEN INFO,,,,N,,,,,,,,,,11,,,,,,,,,
